Listing Name,Price,Room Type,Reviews,Location
"Cozy, Cute and Convenient Nook!",59,Private room,46 reviews,"Boerum Hill, Brooklyn"
Best View of Mnhtn in Crown Heights,77,Private room,7 reviews,"Crown Heights, Brooklyn"
1 BR APT CLOSE TO PARK AND SUBWAY,90,Entire home/apt,2 reviews,"Flatbush, Brooklyn"
Spacious E Williamsburg Artist Loft,181,Entire home/apt,21 reviews,"Williamsburg, Brooklyn"
"Sunny, Spacious 1BR in BoCoCa",163,Entire home/apt,2 reviews,"Boerum Hill, Brooklyn"
Awesome in Brooklyn Heights heart,109,Private room,12 reviews,"Brooklyn Heights, Brooklyn"
"bright, sunny room in new building",63,Private room,12 reviews,"Red Hook, Brooklyn"
Beautiful Loft !,50,Private room,"Red Hook, Brooklyn",
Musican Room available,81,Private room,3 reviews,"Williamsburg, Brooklyn"
"1 br Williamsburg Brooklyn Condo,",90,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Modern One bedroom in Williamsburg,235,Entire home/apt,10 reviews,"Greenpoint, Brooklyn"
Sunny Suite Sleeps Up To Six,136,Entire home/apt,7 reviews,"Flatbush, Brooklyn"
Big BR in W'Burg - pvt terrace/view,90,Private room,31 reviews,"Williamsburg, Brooklyn"
Historic Fort Greene & Clinton Hill,117,Entire home/apt,29 reviews,"Clinton Hill, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,104,Private room,113 reviews,"Park Slope, Brooklyn"
Safe & Sunny 1bdrm -1blk to subway!,113,Entire home/apt,6 reviews,"Crown Heights, Brooklyn"
PRIVATE BATHROOM! PRIME LOCATION,72,Private room,14 reviews,"Williamsburg, Brooklyn"
Sunny Bushwick Artist Loft,41,Private room,7 reviews,"Bushwick, Brooklyn"
"1899 BK Mansion, 15min to Manhattan",47,Private room,11 reviews,"Bushwick, Brooklyn"
The Brooklyn Life - Garden Suite,113,Entire home/apt,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Corner Bushwick Room!,54,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
2Bed Bright/Clean Williamsburg Apt!,131,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Bargain Room #3 - Special Low Price,44,Private room,14 reviews,"Bushwick, Brooklyn"
Beds Bikes Breakfast (on The Park!),50,Private room,35 reviews,"Flatbush, Brooklyn"
BKLYN BROWNSTONE: The Stuyvesant,99,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
"HUGE bdr, LOFT BEDFORD - 5MN Manhat",32,Private room,1 review,"Williamsburg, Brooklyn"
"Cozy, Quiet Room",54,Private room,4 reviews,"Williamsburg, Brooklyn"
Brooklyn Prospect Park Cozy Single,81,Private room,95 reviews,"Prospect Heights, Brooklyn"
"Your Haven Awaits At ""Emma's Place""",122,Entire home/apt,29 reviews,"Bedford-Stuyvesant, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,61 reviews,"Bedford-Stuyvesant, Brooklyn"
New 1BR + 1BA with Private Entrance,80,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Ditmas Park Carriage House Loft,226,Entire home/apt,9 reviews,"Flatbush, Brooklyn"
The Black and White Loft,61,Private room,4 reviews,"Williamsburg, Brooklyn"
Only 1 minute-walk to Park & Metro!,56,Private room,29 reviews,"Lefferts Garden, Brooklyn"
"Sunny, cozy private room, Bushwick.",41,Private room,1 review,"Bushwick, Brooklyn"
Chic private apartment in townhouse,144,Entire home/apt,101 reviews,"Clinton Hill, Brooklyn"
Sunny Spacious Room - Park Slope,59,Private room,4 reviews,"Gowanus, Brooklyn"
Steps to Subway! Super Convienient!,36,Private room,9 reviews,"Flatbush, Brooklyn"
1BR in Prime Williamsburg - Bedford,180,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Private Bdrm in Shared 2 Bdrm Apt,90,Private room,1 review,"Boerum Hill, Brooklyn"
Lovely private studio apartment!,54,Entire home/apt,9 reviews,"Boerum Hill, Brooklyn"
Best Studio on Prospect Park,68,Entire home/apt,78 reviews,"Lefferts Garden, Brooklyn"
CUTE WILLIAMSBURG! 1 STOP TO NYC!,62,Private room,4 reviews,"Williamsburg, Brooklyn"
Beautiful & Cozy on Bedford Ave!,59,Private room,15 reviews,"Williamsburg, Brooklyn"
Spacious and Light Brooklyn Loft,199,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
GIANT LOFT - HEART of WILLIAMSBURG!,113,Private room,20 reviews,"Williamsburg, Brooklyn"
"Whole apt. in Williamsburg, Bklyn",163,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
LOCATION! & garden window (*for 1*),45,Private room,32 reviews,"Prospect Heights, Brooklyn"
Williamsburg penthouse w/ balcony,77,Private room,4 reviews,"Williamsburg, Brooklyn"
Organic Modern Williamsburg loft,271,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Brooklyn Artist's Loft with Gym,63,Entire home/apt,"Bedford-Stuyvesant, Brooklyn",
Sale! 10% off New Williamsburg Apt.,68,Private room,1 review,"Williamsburg, Brooklyn"
Private 1 bd in Sunny Red Hook Loft,86,Private room,49 reviews,"Red Hook, Brooklyn"
Breathtaking views in Williamsburg,113,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Sunny Brownstone 2 Bdr Apartment,126,Entire home/apt,17 reviews,"Bedford-Stuyvesant, Brooklyn"
Welcome to the (Greenpoint) Jungle!,63,Private room,9 reviews,"Greenpoint, Brooklyn"
Private Williamsburg Duplex Loft,176,Entire home/apt,1 review,"Williamsburg, Brooklyn"
Entire 3BR Lux Apt 20min>Manhattan,80,Entire home/apt,15 reviews,"Bedford-Stuyvesant, Brooklyn"
Waterfront Views of Manhattan,140,Entire home/apt,56 reviews,"Columbia Street Waterfront, Brooklyn"
cozy brooklyn nest in Park Slope!,136,Entire home/apt,25 reviews,"Park Slope, Brooklyn"
Greenpoint artist loft space,74,Private room,2 reviews,"Greenpoint, Brooklyn"
Williamsburg Penthouse Guestroom,68,Private room,11 reviews,"Williamsburg, Brooklyn"
Cozy Room in Heart of Williamsburg,72,Private room,7 reviews,"Williamsburg, Brooklyn"
Great room in homey apartment,43,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sunny, well-appointed Brooklyn room",35,Private room,30 reviews,"Bedford-Stuyvesant, Brooklyn"
"Cozy 1BR apart. in Prospect Hts, BK",113,Entire home/apt,6 reviews,"Prospect Heights, Brooklyn"
Boutique Penthouse Terrace/Parking,153,Private room,1 review,"Williamsburg, Brooklyn"
Luxury Loft Private Room B (3C),90,Private room,15 reviews,"Williamsburg, Brooklyn"
Stylish Arty Brooklyn Appartment #4,158,Entire home/apt,14 reviews,"Boerum Hill, Brooklyn"
Cozy Room in the heart Williamsburg,90,Private room,45 reviews,"Williamsburg, Brooklyn"
Garden Suite in Fort Greene,81,Entire home/apt,77 reviews,"Fort Greene, Brooklyn"
Quiet>Sunny>Views>Gym>Williamsburg,113,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Private Room in heart of Bushwick,58,Private room,3 reviews,"Bushwick, Brooklyn"
C King Bed Awesome Luxury Apt,90,Private room,24 reviews,"Williamsburg, Brooklyn"
Designers'  1.5BR: It's The One!,109,Entire home/apt,2 reviews,"Greenpoint, Brooklyn"
"Fresh, Clean Brooklyn Garden Apt.",136,Entire home/apt,70 reviews,"Clinton Hill, Brooklyn"
"Rancho Deluxe, Williamsburg!",181,Entire home/apt,40 reviews,"Williamsburg, Brooklyn"
Cozy Williamsburg Apt. w/ Terrace..,122,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Cozy BR in Wiliamsburg 2 Bedroom,68,Private room,68 reviews,"Williamsburg, Brooklyn"
Beautiful Bright Williamsburg Apt.,153,Entire home/apt,1 review,"Williamsburg, Brooklyn"
1 large bedroom w/private bath,68,Private room,45 reviews,"Clinton Hill, Brooklyn"
Brooklyn Home Base,136,Entire home/apt,16 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright Roomy Quiet Clean 3 bdr apt,90,Entire home/apt,6 reviews,"Greenpoint, Brooklyn"
East Williamsburg Artist Loft,45,Private room,23 reviews,"Williamsburg, Brooklyn"
"Large Purple Room for 2/3, $1450/mo",86,Private room,21 reviews,"Bedford-Stuyvesant, Brooklyn"
"Brooklyn, A Big Bedroom, Good Vibes",52,Private room,10 reviews,"Crown Heights, Brooklyn"
Private room with separate entrance,63,Private room,6 reviews,"Greenpoint, Brooklyn"
Stay in Bushwick Brooklyn,49,Private room,8 reviews,"Bushwick, Brooklyn"
COMFY ROOM #3 ~ AMAZING LOCATION!,99,Private room,73 reviews,"Williamsburg, Brooklyn"
Cozy & Lovely Private Floor - Loft,81,Private room,"Williamsburg, Brooklyn",
Bedroom in Large Brooklyn Apartment,45,Private room,1 review,"Bedford-Stuyvesant, Brooklyn"
Settle in to this Private Room,77,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Ideal Brooklyn Brownstone Apartment,149,Entire home/apt,63 reviews,"Bedford-Stuyvesant, Brooklyn"
Room with En Suite Bathroom & Deck,77,Private room,214 reviews,"Clinton Hill, Brooklyn"
the perfect stay in brooklyn,68,Entire home/apt,56 reviews,"Bedford-Stuyvesant, Brooklyn"
"Huge room, private and simplistic.",99,Private room,54 reviews,"Williamsburg, Brooklyn"
Unforgettable stay in NYC. Book now,54,Private room,10 reviews,"East Flatbush, Brooklyn"
BUDGET RM+ 1/2BATH-15 MIN MANHATTAN,58,Private room,6 reviews,"Bushwick, Brooklyn"
Room in beautiful friendly house,50,Private room,12 reviews,"Bushwick, Brooklyn"
Elegant 1872 Boerum Hill Brownstone,240,Entire home/apt,1 review,"Boerum Hill, Brooklyn"
Bright Bklyn Brownstone - Top Floor,45,Private room,8 reviews,"Crown Heights, Brooklyn"
"Private Room, Rooftop Vibes",68,Private room,9 reviews,"Williamsburg, Brooklyn"
Modern loft with a view to die for!,167,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Studio in BEST location in W'burg,181,Entire home/apt,1 review,"Williamsburg, Brooklyn"
"Gorgeous, bright and spacious!",172,Entire home/apt,14 reviews,"Brooklyn Heights, Brooklyn"
"Clean, Sunny Apt on Prospect Park",90,Entire home/apt,3 reviews,"Lefferts Garden, Brooklyn"
Northside Williamsburg Brooklyn,70,Private room,1 review,"Williamsburg, Brooklyn"
1BR Modern New Apt in Brooklyn,96,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Private Room in New York!,45,Private room,4 reviews,"Sunset Park, Brooklyn"
Modern Apartment - Private Bed/Bath,126,Private room,6 reviews,"Williamsburg, Brooklyn"
"Clean, Quiet Greenpoint Railroad",50,Private room,4 reviews,"Greenpoint, Brooklyn"
Private Bedroom in Williamsburg,89,Private room,27 reviews,"Williamsburg, Brooklyn"
Cozy Room on Prospect Park!,41,Private room,57 reviews,"Flatbush, Brooklyn"
"Cheap, cozy & spacious room in NYC",50,Private room,2 reviews,"Bensonhurst, Brooklyn"
A Spacious Room in a Brooklyn House,68,Private room,15 reviews,"Lefferts Garden, Brooklyn"
Prvt Garden Flat 15mins/Manhattan,86,Entire home/apt,34 reviews,"Bedford-Stuyvesant, New York"
"Quiet, sunny Williamsburg apartment",90,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Modern Apartment - Private Bed/Bath,126,Private room,6 reviews,"Williamsburg, Brooklyn"
"Modern, spacious Brkln brownstone",258,Entire home/apt,4 reviews,"Prospect Heights, Brooklyn"
Full Floor Apt w/ NY Skyline Views,99,Private room,17 reviews,"Williamsburg, Brooklyn"
Sunny 1 Bedroom in Bedstuy,90,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg Haven,63,Private room,1 review,"Williamsburg, Brooklyn"
Williamsburg Bedford Ave PRIME,59,Private room,"Williamsburg, Brooklyn",
Bright Spacious Industrial Loft,113,Entire home/apt,55 reviews,"Williamsburg, Brooklyn"
Private Room in Classic Loft,68,Private room,81 reviews,"Greenpoint, Brooklyn"
Private Bedroom with private bath#1,54,Private room,13 reviews,"Bushwick, Brooklyn"
NYC Bright Room Vintage Artist Home,45,Private room,9 reviews,"Bushwick, Brooklyn"
Homey Townhouse + PRIVATE Bathroom,109,Private room,103 reviews,"Boerum Hill, Brooklyn"
Beautiful Park Slope Studio,109,Entire home/apt,1 review,"Park Slope, Brooklyn"
BIG ROOM 2- 15 MINUTES TO MANHATTAN,68,Private room,23 reviews,"Bushwick, Brooklyn"
Glowing Respite in Park Slope,72,Private room,18 reviews,"Park Slope, Brooklyn"
Cute and Cozy Ft. Greene Love Nest,158,Entire home/apt,12 reviews,"Fort Greene, Brooklyn"
Charming 3bdrm Loft~Bed & Bagel!,176,Entire home/apt,38 reviews,"Bushwick, Brooklyn"
Sunny one bedroom loft apartment,135,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Amazing High Floor Luxury Apartment,181,Entire home/apt,4 reviews,"Downtown Brooklyn, Brooklyn"
Prospect Heights Studio Apartment,90,Entire home/apt,4 reviews,"Prospect Heights, Brooklyn"
Williamsburg Garden Apartment,176,Entire home/apt,19 reviews,"Williamsburg, Brooklyn"
The Geometric Loft,45,Private room,1 review,"Williamsburg, Brooklyn"
NYC artists’ loft with roof deck,45,Private room,57 reviews,"Greenpoint, Brooklyn"
Park Slope Green Guest House,122,Entire home/apt,220 reviews,"Park Slope, Brooklyn"
Lovely private studio apartment!,54,Entire home/apt,9 reviews,"Boerum Hill, Brooklyn"
"POSH, ARTSY & COZY BROWNSTONE FLAT",89,Entire home/apt,31 reviews,"Lefferts Garden, Brooklyn"
Modern Brooklyn Studio,136,Entire home/apt,5 reviews,"Downtown Brooklyn, Brooklyn"
Fort Greene Brooklyn Studio Apt,127,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Cozy 2 BR in Williamsburg,113,Entire home/apt,41 reviews,"Williamsburg, Brooklyn"
CHEAP BIG room in Williamsburg,45,Private room,31 reviews,"Williamsburg, Williamsburg Brooklyn"
Bookcase Room with Hidden Door!,45,Private room,9 reviews,"Bushwick, Brooklyn"
Comfy space for Artists & creatives,35,Shared room,31 reviews,"Bedford-Stuyvesant, Brooklyn"
Pk Slope-Sunny quiet homelike suite,118,Entire home/apt,49 reviews,"Park Slope, Brooklyn"
1) Cozy Private Room exposed Brick!,49,Private room,17 reviews,"Bushwick, Brooklyn"
Bushwick Loft March sale,99,Entire home/apt,18 reviews,"Bushwick, Brooklyn"
New Listing!  Price reduced.  :),36,Private room,"Williamsburg, Brooklyn",
CHEAP BIG room in Williamsburg,45,Private room,31 reviews,"Williamsburg, Williamsburg Brooklyn"
Bushwick Creative Den of Bliss,90,Private room,40 reviews,"Bushwick, Brooklyn"
Private Room for up to 3 (or 5),45,Private room,45 reviews,"Sunset Park, Brooklyn"
Brand New Modern Apt By Park & Sbwy,114,Entire home/apt,12 reviews,"Flatbush, Brooklyn"
"Lovely Home--Clinton Hill, Brooklyn",136,Entire home/apt,8 reviews,"Clinton Hill, Brooklyn"
Clean & Convenient in Brooklyn,45,Private room,9 reviews,"Clinton Hill, Brooklyn"
Large Brand New Park Slope 1BR,118,Entire home/apt,37 reviews,"Gowanus, Brooklyn"
Spacious room in pretty apt w deck,50,Private room,3 reviews,"Kensington, Brooklyn"
Room 4 subway stops from Manhattan,54,Private room,45 reviews,"Lefferts Garden, Brooklyn"
Hinds Residential Suites Room 1-1,32,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
The Williamsburg Special,55,Private room,33 reviews,"Williamsburg, Brooklyn"
"Large, Luxury Bedroom nr JMZ subway",53,Private room,1 review,"Bedford-Stuyvesant, Brooklyn"
A cozy place in Brooklyn!,59,Private room,14 reviews,"Kensington, Brooklyn"
"Dreamy room, eclectic Bushwick apt",32,Private room,14 reviews,"Bushwick, Brooklyn"
Sunny 1 Bedroom in Bedstuy,90,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
"Fort Greene, Brooklyn 1 Bedroom Apt",152,Entire home/apt,19 reviews,"Fort Greene, Brooklyn"
"1 BR in sunny Ft. Greene, Brooklyn",71,Private room,102 reviews,"Fort Greene, Brooklyn"
2 Bed/2 Bath in Williamsburg w/View,294,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Amazing location! 10ft from subway,54,Private room,56 reviews,"Williamsburg, Brooklyn"
RADS Studio 1 - Brooklyn Beauty,81,Entire home/apt,4 reviews,"Crown Heights, Brooklyn"
Large Sunny Rm-6th Fl View/Elevator,68,Private room,31 reviews,"Kensington, Brooklyn"
"Bright, Airy Williamsburg Apt",113,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Great spot right on Bedford Ave!,54,Private room,19 reviews,"Williamsburg, Brooklyn"
Private 1 Bdrm Suite in Brownstone,136,Private room,2 reviews,"Brooklyn Heights, Brooklyn"
Best Location: Every Subway Here!,62,Private room,57 reviews,"Park Slope, Brooklyn"
Best Neighborhood Carroll Gardens,249,Entire home/apt,39 reviews,"Carroll Gardens, Brooklyn"
Amazing Williamsburg entire Loft,222,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Cozy room in a Spacious Duplex,59,Private room,7 reviews,"Bushwick, Brooklyn"
Hip/Trendy Brooklyn Loft Apartment.,36,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
"Beautiful, Modern 2BR, Park Slope",127,Entire home/apt,17 reviews,"Park Slope, Brooklyn"
Stunning artist loft 1 stop to Manh,104,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Lovely Bklyn Heights brownstone 1BR,122,Entire home/apt,17 reviews,"Brooklyn Heights, Brooklyn"
"Sunny BR, 1 bike, Prospect Park!",36,Private room,58 reviews,"Flatbush, Brooklyn"
Sunny Loft in Brooklyn by River,249,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Stylish Arty Brooklyn Appartment #4,158,Entire home/apt,14 reviews,"Boerum Hill, Brooklyn"
3br in Neo-French Reniassance Home,157,Entire home/apt,19 reviews,"Lefferts Garden, Brooklyn"
Private BR/Bathroom & Garden!!!!!!!,54,Private room,57 reviews,"Bushwick, Brooklyn"
Sunny Williamsburg Brooklyn Bedroom,35,Private room,7 reviews,"Williamsburg, Brooklyn"
"Sunny,quiet Williamsburg loft",131,Entire home/apt,60 reviews,"Williamsburg, Brooklyn"
1BR Modern New Apt in Brooklyn,96,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Private Room in Victorian House,68,Private room,22 reviews,"Flatbush, Brooklyn"
Big master suite in Park Slope loft,72,Private room,7 reviews,"Greenwood Heights, Brooklyn"
Pretty and Private in Clinton Hill,90,Private room,6 reviews,"Clinton Hill, Brooklyn"
Studio 40 @ Clinton Hill,86,Entire home/apt,2 reviews,"Clinton Hill, Brooklyn"
Nice room Convenient to Manhattan A,50,Private room,26 reviews,"Sunset Park, Brooklyn"
Sunny Victorian Brownstone Apt.,136,Entire home/apt,17 reviews,"Park Slope, Brooklyn"
Pvt Room w/ Balcony& Great Sunlight,59,Private room,44 reviews,"Williamsburg, Brooklyn"
Artist Loft - King Bed w/Chandelier,53,Private room,14 reviews,"Brooklyn Navy Yard, Brooklyn"
"Brooklyn Brownstone, Private Room",77,Private room,77 reviews,"Prospect Heights, Brooklyn"
Great Loft - Private Room & Bath,99,Private room,66 reviews,"Windsor Terrace, Brooklyn"
Spacious Private Bedroom & Living,90,Private room,167 reviews,"Park Slope, Brooklyn"
East Williamsburg Room,41,Private room,5 reviews,"Williamsburg, Brooklyn"
"Luxury penthouse, Manhattan views",225,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
HEART OF THE HEIGHTS - GORGEOUS 1BR,217,Entire home/apt,34 reviews,"Brooklyn Heights, Brooklyn"
Cozy Bed-Stuy Brownstone Loft,53,Entire home/apt,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Comforts in Bushwick Brooklyn,63,Private room,47 reviews,"Bushwick, Brooklyn"
Private bedroom/bathroom/balcony,68,Private room,11 reviews,"Crown Heights, Brooklyn"
Amazing view from my both 2BR in NY,109,Private room,"Williamsburg, Brooklyn",
Williamsburg Exposed Brick Loft,145,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Historic Fort Greene-Deco on Greene,167,Entire home/apt,12 reviews,"Fort Greene, Brooklyn"
A cozy place in Brooklyn!,59,Private room,14 reviews,"Kensington, Brooklyn"
Cozy Place in Park Slope,77,Private room,18 reviews,"Park Slope, Brooklyn"
1 Bdrm Apt- Brooklyn Heights,77,Entire home/apt,10 reviews,"Brooklyn Heights, Brooklyn"
City Skyline Views by Bedford Ave,136,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Best Neighborhood Carroll Gardens,249,Entire home/apt,39 reviews,"Carroll Gardens, Brooklyn"
Sun-filled gem in Carroll Gardens1,98,Private room,7 reviews,"Cobble Hill, Brooklyn"
"Sunny,quiet Williamsburg loft",131,Entire home/apt,60 reviews,"Williamsburg, Brooklyn"
Charming Brooklyn 1-BD on main drag,63,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Brownstone Writer's Room,45,Private room,8 reviews,"Bedford-Stuyvesant, Brooklyn"
Chic 1 bd apt in Prime Williamsburg,136,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
"Sunny, Large, Park Slope Bedroom",95,Private room,79 reviews,"Park Slope, Brooklyn"
Prospect Heights Views & Vanderbilt,190,Entire home/apt,13 reviews,"Prospect Heights, Brooklyn"
Prospect Park West Penthouse Apt,149,Entire home/apt,92 reviews,"Park Slope, Brooklyn"
Loft like apartment in Greenpoint,90,Entire home/apt,3 reviews,"Greenpoint, Brooklyn"
"Clean, Spacious PRIVATE ROOM & BATH",86,Private room,5 reviews,"Williamsburg, Brooklyn"
Spacious Sunny Studio Ditmas Park,85,Entire home/apt,"Flatbush, Brooklyn",
Brooklyn Escape,72,Private room,1 review,"Park Slope, Brooklyn"
Garden Apartment in Townhouse,131,Entire home/apt,12 reviews,"Clinton Hill, Brooklyn"
Beautiful 3 bedroom apartment!!,89,Entire home/apt,50 reviews,"Crown Heights, Brooklyn"
The Stanhope: Twin Room,44,Private room,34 reviews,"Bushwick, Brooklyn"
Sunny room in W'burg Penthouse Apt,62,Private room,3 reviews,"Williamsburg, Brooklyn"
Sunny private room in Clinton Hill,45,Private room,"Clinton Hill, Brooklyn",
Room B in 3BR Flat - Williamsburg,72,Private room,4 reviews,"Williamsburg, Brooklyn"
Beautiful large Fort Greene Studio,104,Entire home/apt,21 reviews,"Fort Greene, Brooklyn"
APT NEAR PARK 15 MIN TO MANHATTAN,127,Entire home/apt,22 reviews,"Lefferts Garden, Brooklyn"
Private Skylight Room in BK Duplex,90,Private room,8 reviews,"Williamsburg, Brooklyn"
Great spot in Williamsburg!,113,Entire home/apt,"Williamsburg, Brooklyn",
Inspiring spacious loft space,109,Private room,12 reviews,"Williamsburg, Brooklyn"
PRIVATE BATHROOM! PRIME LOCATION,72,Private room,14 reviews,"Williamsburg, Brooklyn"
***Huge Room in Bright Open Loft***,99,Private room,31 reviews,"Williamsburg, Brooklyn"
COZY PRIVATE ROOM,59,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Brightly Lit 2 BD Prospect Park,68,Entire home/apt,1 review,"Crown Heights, Brooklyn"
1 min to subway 20mins to Manhattan,29,Private room,"Kensington, Brooklyn",
"Easy going, clean and close to city",59,Private room,27 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Bedroom 8 Min From City,39,Private room,9 reviews,"Williamsburg, Brooklyn"
HUGE ROOM - BROOKLYN close to train,35,Private room,17 reviews,"Bedford-Stuyvesant, Brooklyn"
Bedford Stuyvesant Urban Hang Suite,136,Entire home/apt,53 reviews,"Bedford-Stuyvesant, Brooklyn"
Room in nice apartment,72,Private room,2 reviews,"Williamsburg, Brooklyn"
Williamsburg Spacious Studio,135,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Private room in friendly Brownstone,38,Private room,12 reviews,"Bushwick, Brooklyn"
█ █ CENTRAL WILLIAMSBURG PAD TOP LH,71,Private room,5 reviews,"Williamsburg, Brooklyn"
Nice room next to Prospect Park!,53,Private room,48 reviews,"Lefferts Garden, New York"
Park Slope Paradise: Room + Patio,72,Private room,"Park Slope, Brooklyn",
Cute Williamsburg Room w/ LOFT BED,62,Private room,19 reviews,"Williamsburg, Brooklyn"
POST CARD VIEWS of Park and Skyline,146,Entire home/apt,52 reviews,"Williamsburg, Brooklyn"
Lively loft II!,53,Private room,26 reviews,"Williamsburg, Brooklyn"
A Cozy Studio in Clinton Hill,90,Entire home/apt,2 reviews,"Clinton Hill, Brooklyn"
HOTEL STYLE l Modern LUX -1 Bedroom,163,Entire home/apt,3 reviews,"Downtown Brooklyn, Brooklyn"
Bedroom in Williamsburg Apartment,72,Private room,"Williamsburg, Brooklyn",
1 Bedroom Apartment Lefferts Garden,90,Entire home/apt,2 reviews,"Lefferts Garden, Brooklyn"
Cute lil room in a charming bk apt,77,Private room,11 reviews,"Williamsburg, Brooklyn"
Kate's Place,45,Private room,25 reviews,"Crown Heights, Brooklyn"
Beautiful Large Williamsburg Studio,122,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Cheap Budget Private Room #1,50,Private room,9 reviews,"Bushwick, Brooklyn"
The best townhouse in Williamsburg,267,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
9 B Private Room in Lux Loft,90,Private room,11 reviews,"Williamsburg, Brooklyn"
Charming one bedroom in Brownstone,68,Private room,3 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy apartment with Wi-Fi $$,104,Entire home/apt,21 reviews,"Bay Ridge, Brooklyn"
It's all about Bushwick BROOKLYN,90,Entire home/apt,68 reviews,"Bushwick, Brooklyn"
"Beautiful room - Bushwick, Brooklyn",81,Private room,5 reviews,"Bushwick, Brooklyn"
Red Hook Classic Townhouse w Garden,117,Entire home/apt,27 reviews,"Red Hook, Brooklyn"
NYC Special Occasions Room #2,24,Private room,65 reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Sunny Queer Friendly Loft,45,Private room,32 reviews,"Williamsburg, Brooklyn"
Large Duplex in Carroll Gardens,226,Entire home/apt,3 reviews,"Gowanus, Brooklyn"
Charming room near Park & Museum!,43,Private room,4 reviews,"Prospect Heights, Brooklyn"
"Cozy, Clean, Quiet, Private Room!!",34,Private room,3 reviews,"Flatbush, Brooklyn"
Large Room in Modern Sunny Loft,63,Private room,15 reviews,"Williamsburg, Brooklyn"
Cozy room in warehouse style apt,53,Private room,34 reviews,"Williamsburg, Brooklyn"
HUGE ROOM 2 - 15 MINUTES >MANHATTAN,65,Private room,19 reviews,"Bushwick, Brooklyn"
Private Bedroom with private bath#1,54,Private room,13 reviews,"Bushwick, Brooklyn"
Sunny Studio Apartment,113,Entire home/apt,"Brooklyn Heights, Brooklyn",
Garden Apartment in Park Slope,109,Entire home/apt,"Park Slope, Brooklyn",
Gorgeous French Garden cottage-N 8t,108,Entire home/apt,32 reviews,"Williamsburg, Brooklyn"
BK private room in artist apt,50,Private room,5 reviews,"Bushwick, Brooklyn"
"Clean, Sunny Apt on Prospect Park",90,Entire home/apt,3 reviews,"Lefferts Garden, Brooklyn"
"Tasteful, calm, central 2BR/2Baths",222,Entire home/apt,6 reviews,"Williamsburg, Brooklyn"
Private Room with own Bathroom,107,Private room,4 reviews,"Carroll Gardens, Brooklyn"
Bedford Stuyvesant Townhouse,136,Entire home/apt,16 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Room in the heart of W'burg,59,Private room,26 reviews,"Williamsburg, Brooklyn"
Rad Studio Room in Williamsburg,80,Entire home/apt,44 reviews,"Williamsburg, Brooklyn"
Beautiful room off Bedford ave.,51,Private room,53 reviews,"Williamsburg, Brooklyn"
