Listing Name,Price,Room Type,Reviews,Location
Private entrance/bath in luxury apt,86,Private room,7 reviews,"Williamsburg, Brooklyn"
Private Room in W'burg Penthouse,50,Private room,5 reviews,"Williamsburg, Brooklyn"
Brooklyn Prospect Park Sunny Dormer,113,Private room,63 reviews,"Fort Greene, Brooklyn"
BLIND MEETING IN BUSHWICK,9,Private room,1 review,"Bushwick, Brooklyn"
Beautiful Room near Manhattan,41,Private room,29 reviews,"Bedford-Stuyvesant, Brooklyn"
Artsy apt in heart of Williamsburg,81,Entire home/apt,31 reviews,"Williamsburg, Brooklyn"
Loft in Brand New WBurg Apartment,80,Private room,46 reviews,"Williamsburg, Brooklyn"
Fort Greene brownstone,72,Private room,68 reviews,"Fort Greene, Brooklyn"
BUDGET RM+ 1/2BATH-15 MIN MANHATTAN,58,Private room,6 reviews,"Bushwick, Brooklyn"
Comfy bed in friendly Homestel #2,29,Shared room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
#1~Studio Suite-10 mins Manhattan!,90,Entire home/apt,41 reviews,"Clinton Hill, Brooklyn"
Brooklyn Apt with Manhattan View!,99,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
SUNNY MODERN LOFT 2 ON BEDFORD AVE!,90,Private room,28 reviews,"Williamsburg, Brooklyn"
Columbia Castle in Brooklyn Heights,72,Private room,53 reviews,"Brooklyn Heights, Brooklyn"
"Spacious, modern Apartment",136,Private room,26 reviews,"Williamsburg, Brooklyn"
Cozy oasis in heart of Williamsburg,45,Private room,6 reviews,"Williamsburg, Brooklyn"
Spacious loft in Downtown Brooklyn,89,Private room,55 reviews,"Downtown Brooklyn, Brooklyn"
"Dream Come True, Too! Williamsburg",68,Private room,34 reviews,"Williamsburg, Brooklyn"
Spacious Brooklyn Heights Sunny Apt,136,Entire home/apt,22 reviews,"Brooklyn Heights, Brooklyn"
Williamsburg 1 block from L Train,61,Private room,58 reviews,"Williamsburg, Brooklyn"
"Comfortable, Lovely Room on L Train",43,Private room,13 reviews,"Bushwick, Brooklyn"
Tiny little private nook!,32,Private room,21 reviews,"Crown Heights, Brooklyn"
Private Room in Williamsburg Loft,68,Private room,15 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse For A Cause,90,Private room,122 reviews,"Williamsburg, Brooklyn"
AMAZING TRENDY NYC LOFT,172,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
East Williamsburg Artist Loft,45,Private room,23 reviews,"Williamsburg, Brooklyn"
"Beautiful, large, charming spot",172,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
"Cozy room, overlooking garden",59,Private room,24 reviews,"Bedford-Stuyvesant, Brooklyn"
"Delightful,Private,Brooklyn studio",81,Private room,117 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Master Suite in Park Slope,104,Private room,96 reviews,"Park Slope, Brooklyn"
Private Bedroom in the loft,54,Private room,17 reviews,"Bushwick, Brooklyn"
Greenpoint oasis in the sky,167,Entire home/apt,3 reviews,"Greenpoint, Brooklyn"
Central Williamsburg Fab Large Room,63,Private room,8 reviews,"Williamsburg, Brooklyn"
"Whole apt. in Williamsburg, Bklyn",163,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Dream Loft 10 Min to Manhattan,86,Private room,26 reviews,"Williamsburg, Brooklyn"
Private 1BR @ Spacious Sunny Duplex,59,Private room,9 reviews,"Bushwick, Brooklyn"
spacious studio apartment,86,Entire home/apt,113 reviews,"Greenpoint, Brooklyn"
Beds Bikes Breakfast on The Park,41,Private room,7 reviews,"Flatbush, Brooklyn"
"Incredible location, stunning view!",154,Entire home/apt,6 reviews,"Downtown Brooklyn, Brooklyn"
bright studio loft in artsy bldg,109,Entire home/apt,96 reviews,"Williamsburg, Brooklyn"
Sunny Room in Bushwick Paradise,81,Private room,"Bushwick, Brooklyn",
Room in Duplex apartment (2Beds),90,Private room,6 reviews,"Fort Greene, Brooklyn"
"Williamsburg, Brooklyn Artist Loft",54,Private room,10 reviews,"Greenpoint, Brooklyn"
Large Room with Private Bathroom,33,Private room,2 reviews,"Clinton Hill, Brooklyn"
